-,-,-
1840, 692, -564
1997, 295, -887
1997, -149, -855
1997, 899, -929
1581, 1895, -1114
-1425, 1997, -825
-1998, 1997, -427
-1998, 1997, 583
-1998, 1753, 1301
-1998, 1008, 1396
-1998, 298, 1549
-1917, 50, 1237
-,-,-
1302, 266, -943
1997, -3, -1345
1997, -960, -1777
1997, -1030, -1972
1962, 1442, -1803
-601, 1997, -1208
-1998, 1997, 289
-1998, 1997, 1268
-1998, 1997, 1572
-1998, 1904, 1991
-,-,-
480, 336, -728
1888, 805, -1701
1997, 631, -1553
1997, 435, -1405
1997, 445, -1485
1562, 1568, -1349
-1606, 1997, -702
-1998, 1997, 1545
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1148, 1012, -479
1997, 821, -889
1997, -474, -1911
1997, -479, -1997
1997, 1257, -1963
8, 1997, -1328
-1998, 1997, 432
-1998, 1997, 1650
-1998, 1997, 1521
-1998, 1782, 1582
-,-,-
404, 282, -193
1849, 856, -946
1997, 235, -1523
1997, -317, -1997
1997, 449, -1997
1898, 1900, -1919
-1342, 1997, -948
-1998, 1997, 1057
-1998, 1997, 1884
-,-,-
172, 182, -575
172, 182, -575
1701, 566, -1074
1997, 136, -1329
1997, -352, -1956
1997, 330, -1997
1895, 1892, -1997
-1178, 1997, -1936
-1998, 1997, 218
-1998, 1997, 1454
-,-,-
771, -5, -625
1934, -153, -1357
1997, -561, -1996
1997, -252, -1997
1997, 1643, -1952
1014, 1997, -1390
-1985, 1997, 55
-1998, 1997, 663
-1998, 1997, 1046
-1998, 1967, 1642
-,-,-
275, 34, -551
275, 34, -551
1670, 410, -1340
1997, -198, -1989
1997, -122, -1997
1997, 750, -1990
1928, 1996, -1931
-1255, 1997, -732
-1998, 1997, 1710
-1998, 1997, 1982
-1998, 1997, 1998
-1998, 1618, 1998
-,-,-
1491, 533, -916
1997, 208, -1547
1997, -307, -1668
1997, -84, -1997
1997, 1512, -1834
27, 1997, -695
27, 1997, -695
-1998, 1997, 917
-1998, 1997, 1888
-1998, 1997, 1724
-1998, 1997, 1745
-,-,-
222, -54, -443
222, -54, -443
1651, -117, -992
1997, -314, -1215
1997, -650, -1587
1997, 235, -1850
1845, 1907, -1519
-1045, 1997, -240
-1998, 1997, 895
-1998, 1997, 1430
-1998, 1997, 1987
-1998, 1970, 1998
-,-,-
170, 223, -26
1421, 507, -613
1997, -453, -1493
1997, -1761, -1997
1997, -1808, -1997
1872, 87, -1932
-1049, 1986, -669
-1998, 1997, 1530
-1998, 1997, 1853
-1998, 1997, 1998
-,-,-
-392, -373, -140
163, -104, -5
1116, 648, -115
1997, 741, -201
1997, 15, -467
1997, -651, -1009
1997, -193, -1235
831, 1152, -1525
-1895, 1997, -1103
-1998, 1997, 319
-1998, 1997, 996
-1998, 1997, 1872
-,-,-
-376, -342, -240
-63, 103, -221
898, 759, -236
1929, 905, -547
1997, 24, -1331
1997, -902, -1995
1997, -1203, -1997
1761, 850, -1997
-1328, 1997, -1343
-1998, 1997, 1572
-1998, 1997, 1897
-1998, 1997, 1996
-,-,-
498, 79, -260
1654, 185, -378
1997, -73, -876
1997, -379, -1612
1997, -411, -1981
1997, 348, -1997
260, 1820, -1772
-1991, 1997, -165
-1998, 1997, 1457
-1998, 1997, 1647
-1998, 1997, 1998
-,-,-
356, 317, -240
1726, 350, -605
1997, -85, -1418
1997, -604, -1983
1997, -729, -1997
1968, 1172, -1997
-830, 1997, -1465
-1998, 1997, 977
-1998, 1997, 1928
-1998, 1997, 1998
-,-,-
366, 107, -395
366, 107, -395
1748, 561, -868
1997, -98, -1414
1997, -248, -1665
1997, 520, -1988
1655, 1871, -1997
-1311, 1997, -1409
-1998, 1997, 962
-1998, 1997, 1859
-,-,-
59, 26, -221
1280, 407, -686
1997, 136, -1637
1997, -625, -1997
1997, -709, -1997
1997, 1203, -1997
503, 1997, -1488
-1997, 1997, 1172
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
-338, -364, -284
-37, -178, -400
974, 140, -773
1993, -93, -1552
1997, -584, -1997
1997, -820, -1997
1997, 360, -1997
1437, 1946, -1695
-1526, 1997, -85
-1998, 1997, 1924
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
763, 106, -1015
1955, -312, -1892
1997, -1019, -1997
1997, -611, -1997
1997, 1424, -1997
1522, 1997, -982
-1077, 1997, 1654
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
-25, -151, -278
835, 302, -650
